Section|Name|GeneratedAt
-------|----|-----------
DATABASE|KutuphaneDB|2026-05-21 21:02:16
Section|SchemaName|TableName|Row_Count
-------|----------|---------|---------
COLUMN|dbo|Turler|2|TurAdi|nvarchar|200|0
COLUMN|dbo|YayinEvleri|1|YayinEviID|int|4|0
COLUMN|dbo|YayinEvleri|2|YayinEviAdi|nvarchar|400|0
COLUMN|dbo|YayinEvleri|3|Sehir|nvarchar|200|1
COLUMN|dbo|YayinEvleri|4|Ulke|nvarchar|200|1
COLUMN|dbo|Yazarlar|1|YazarID|int|4|0
COLUMN|dbo|Yazarlar|2|YazarAdi|nvarchar|400|0
COLUMN|dbo|Yazarlar|3|Ulke|nvarchar|200|1
COLUMN|dbo|Yazarlar|4|DogumYili|smallint|2|1
Section|ForeignKeyName|ParentSchema|ParentTable|ParentColumn|RefSchema|RefTable|RefColumn
-------|--------------|------------|-----------|------------|---------|--------|---------
FOREIGN_KEY|FK_Cezalar_Kiralamalar|dbo|Cezalar|KiralamaID|dbo|Kiralamalar|KiraID
FOREIGN_KEY|FK_Kiralamalar_Kopyalar|dbo|Kiralamalar|KopyaID|dbo|KitapKopyalari|KopyaID
FOREIGN_KEY|FK_Kiralamalar_Kullanicilar|dbo|Kiralamalar|KullaniciID|dbo|Kullanicilar|KullaniciID
FOREIGN_KEY|FK_Kiralamalar_Personel|dbo|Kiralamalar|PersonelID|dbo|Personel|PersonelID
FOREIGN_KEY|FK_KitapBasimlari_Kitaplar|dbo|KitapBasimlari|KitapID|dbo|Kitaplar|KitapID
FOREIGN_KEY|FK_KitapBasimlari_YayinEvleri|dbo|KitapBasimlari|YayinEviID|dbo|YayinEvleri|YayinEviID
FOREIGN_KEY|FK_KitapKopyalari_Basimlar|dbo|KitapKopyalari|BasimID|dbo|KitapBasimlari|BasimID
FOREIGN_KEY|FK_KitapKopyalari_KitapBasimlari|dbo|KitapKopyalari|BasimID|dbo|KitapBasimlari|BasimID
FOREIGN_KEY|FK_KitapKopyalari_Kitaplar|dbo|KitapKopyalari|KitapID|dbo|Kitaplar|KitapID
FOREIGN_KEY|FK_KitapKopyalari_Kutuphaneler|dbo|KitapKopyalari|KutuphaneID|dbo|Kutuphaneler|KutuphaneID
FOREIGN_KEY|FK_KitapKopyalari_Raflar|dbo|KitapKopyalari|RafID|dbo|Raflar|RafID
FOREIGN_KEY|FK_Kitaplar_YayinEvleri|dbo|Kitaplar|YayinEviID|dbo|YayinEvleri|YayinEviID
FOREIGN_KEY|FK_KitapTurler_Kitaplar|dbo|KitapTurler|KitapID|dbo|Kitaplar|KitapID
FOREIGN_KEY|FK_KitapTurler_Turler|dbo|KitapTurler|TurID|dbo|Turler|TurID
FOREIGN_KEY|FK_KitapYazarlar_Kitaplar|dbo|KitapYazarlar|KitapID|dbo|Kitaplar|KitapID
FOREIGN_KEY|FK_KitapYazarlar_Yazarlar|dbo|KitapYazarlar|YazarID|dbo|Yazarlar|YazarID
FOREIGN_KEY|FK_Personel_Kutuphaneler|dbo|Personel|KutuphaneID|dbo|Kutuphaneler|KutuphaneID
FOREIGN_KEY|FK_Raflar_Kutuphaneler|dbo|Raflar|KutuphaneID|dbo|Kutuphaneler|KutuphaneID
FOREIGN_KEY|FK_Rezervasyonlar_KitapKopyalari|dbo|Rezervasyonlar|KopyaID|dbo|KitapKopyalari|KopyaID
FOREIGN_KEY|FK_Rezervasyonlar_Kopyalar|dbo|Rezervasyonlar|KopyaID|dbo|KitapKopyalari|KopyaID
FOREIGN_KEY|FK_Rezervasyonlar_Kullanicilar|dbo|Rezervasyonlar|KullaniciID|dbo|Kullanicilar|KullaniciID
FOREIGN_KEY|FK_Rezervasyonlar_Personel|dbo|Rezervasyonlar|PersonelID|dbo|Personel|PersonelID
